property_no,description,debt_amount,event_description,event_datetime
5209080350,Warrnambool,182.79,URGs Application - Successful,9/10/2017
742970700,Hamilton,370.15,URGs Application - Successful - FC2017/09923,11/10/2017
5206171850,Warrnambool,190.78,URGs Application - Successful - FC2017/10173,18/10/2017
541570450,Moutajup,NULL,URGs Application - Successful - FC2017/10212,19/10/2017
841881200,Macarthur,NULL,URGs Application - Successful,19/10/2017
5200441500,Warrnambool,500,URGs Application - Successful - FC2017/10218,19/10/2017
740200200,Hamilton,500,URGs Application - Successful,20/10/2017
2206190400,Camperdown,500,URGs Application - Successful,20/10/2017
5205811700,Warrnambool,148.19,URGs Application - Successful,20/10/2017
5209490250,Warrnambool,265.72,URGs Application - Successful,25/10/2017
5208803947,Warrnambool,409.1,URGs Application - Successful,25/10/2017
744243450,Hamilton,254.84,URGs Application - Successful,1/11/2017
5206151580,Warrnambool,190.58,URGs Application - Successful,1/11/2017
5210080250,Warrnambool,322.6,URGs Application - Successful,1/11/2017
3002793850,Cobden,186.76,URGs Application - Successful,1/11/2017
5203940250,Warrnambool,500,URGs Application - Successful -FC2017/11605,16/11/2017
9331303660,Portland,500,URGs Application - Successful,5/12/2017
4804584200,Terang,500,URGs Application - Successful,5/12/2017
3010592400,Cobden,481.68,URGs Application - Successful,12/12/2017
9231311200,Port Fairy,NULL,URGs Application - Successful,12/12/2017
5206160500,Warrnambool,NULL,URGs Application - Successful,18/12/2017
5209021200,Dennington,151.48,URGs Application - Successful,18/12/2017
9133350100,Heywood,253.76,URGs Application - Successful,18/12/2017
9231074200,Port Fairy,498.73,URGs Application - Successful,10/01/2018
5210363642,Warrnambool,500,URGs Application - Successful,10/01/2018
9131294150,Heywood,500,URGs Application - Successful - FC2018/00610,23/01/2018
9331481850,Portland,198.11,URGs Application - Successful - FC2018/00612,23/01/2018
9333650200,Portland,269.83,URGs Application - Successful,15/02/2018
941980150,Merino,438.2,URGs Application - Successful,27/02/2018
5205261200,Warrnambool,500,URGs Application - Successful,27/02/2018
5211160100,Warrnambool,NULL,URGs Application - Successful - FC2018/02585,15/03/2018
5208802940,Warrnambool,500,URGs Application - Successful - FC2018/02601,16/03/2018
9333671500,Portland,NULL,URGs Application - Successful - FC2018/02678,19/03/2018
9132690300,Heywood,NULL,URGs Application - Successful - FC2018/02682,19/03/2018
9132320150,Heywood,NULL,URGs Application - Successful - FC2018/02684,19/03/2018
5207410850,Warrnambool,500,URGs Application - Successful - FC2018/02812,21/03/2018
5207340850,Warrnambool,NULL,URGs Application - Successful - FC2018/03020,26/03/2018
5202702900,Warrnambool,NULL,URGs Application - Successful,26/03/2018
9330540400,Portland,442.08,URGs Application - Successful,26/03/2018
5205030450,Warrnambool,500,URGs Application - Successful - FC2018/03946,17/04/2018
442872850,Coleraine,377.2,URGs Application - Successful,17/04/2018
740960100,Hamilton,200,URGs Application - Successful,17/04/2018
2204941200,Camperdown,470.97,URGs Application - Successful,17/04/2018
4800871700,Terang,446.5,URGs Application - Successful,17/04/2018
9333741000,Portland,478.39,URGs Application - Successful,17/04/2018
9231881650,Port Fairy,210.1,URGs Application - Successful,17/04/2018
9331301740,Portland,500,URGs Application - Successful,17/04/2018
4807570500,Terang,500,URGs Application - Successful - FC2018/03995,18/04/2018
5202420500,Warrnambool,NULL,URGs Application - Successful - FC2018/04001,18/04/2018
5207210400,Warrnambool,NULL,URGs Application - Successful - FC2018/04002,18/04/2018
9132182200,Heywood,NULL,URGs Application - Successful - FC2018/04004,18/04/2018
9132320550,Heywood,NULL,URGs Application - Successful - FC2018/04005,18/04/2018
9330510500,Portland,NULL,URGs Application - Successful - FC2018/04006,18/04/2018
1441350150,Muntham,500,URGs Application - Successful,26/04/2018
741011250,Hamilton,500,URGs Application - Successful,26/04/2018
3002740100,Cobden,480.61,URGs Application - Successful,26/04/2018
541571800,Dunkeld,410.76,URGs Application - Successful,26/04/2018
3607540700,Mortlake,500,URGs Application - Successful,26/04/2018
9132891100,Heywood,500,URGs Application - Successful,26/04/2018
2206281500,Camperdown,500,URGs Application - Successful - FC2018/04789,7/05/2018
5002990400,Timboon,854.51,URGs Application - Successful - FC2018/04791,7/05/2018
742277400,Hamilton,399.77,URGs Application - Successful,10/05/2018
5203903600,Warrnambool,300,URGs Application - Successful,10/05/2018
9330221200,Portland,317.73,URGs Application - Successful,10/05/2018
9330346200,Portland,NULL,URGs Application - Successful,10/05/2018
9330760150,Portland,500,URGs Application - Successful,10/05/2018
9332091400,Portland,500,URGs Application - Successful - FC2018/05127,10/05/2018
9332410300,Portland,488.38,URGs Application - Successful - FC2018/05131,10/05/2018
9331000600,Portland,NULL,URGs Application - Successful - FC2018/05135,10/05/2018
540020050,Dunkeld,500,URGs Application - Successful - FC2018/05316,15/05/2018
744710750,Hamilton,500,URGs Application - Successful,15/05/2018
5207290100,Warrnambool,305.84,URGs Application - Successful - FC2018/05322,15/05/2018
5209581550,Warrnambool,NULL,URGs Application - Successful - FC2018/05325,15/05/2018
9331301480,Portland,273.25,URGs Application - Successful - FC2018/05327,15/05/2018
9333610200,Portland,NULL,URGs Application - Successful - FC2018/05329,15/05/2018
1044651100,Penshurst,500,URGs Application - Successful - FC2018/05594,22/05/2018
1244430400,Tarrington,NULL,URGs Application - Successful - FC2018/05596,22/05/2018
2004070550,Allansford,NULL,URGs Application - Successful - FC2018/05597,22/05/2018
5200631000,Dennington,NULL,URGs Application - Successful - FC2018/05600,22/05/2018
8101280700,Carpendeit,500,URGs Application - Successful - FC2018/05602,22/05/2018
9333252550,Portland,NULL,URGs Application - Successful - FC2018/05603,22/05/2018
5210733700,Warrnambool,431.22,URGs Application - Successful - FC2018/05611,22/05/2018
444734000,Coleraine,339.58,URGs Application - Successful - FC2018/06471,29/05/2018
5204280150,Warrnambool,500,URGs Application - Successful - FC2018/06473,29/05/2018
9331922900,Portland,NULL,URGs Application - Successful -FC2018/06475,29/05/2018
243090700,Casterton,333.52,URGs Application - Successful FC2018/06815,5/06/2018
740970450,Hamilton,281.92,URGs Application - Successful FC2018/06833,5/06/2018
744711900,Hamilton,500,URGs Application - Successful FC2018/06834,5/06/2018
3205450600,Koroit,412.53,URGs Application - Successful FC2018/06839,5/06/2018
5007050100,Timboon,500,URGs Application - Successful FC2018/06841,5/06/2018
5210290850,Warrnambool,500,URGs Application - Successful FC2018/06849,6/06/2018
5212090550,Warrnambool,500,URGs Application - Successful FC2018/06851,6/06/2018
5212090550,Warrnambool,500,URGs Application - Successful,6/06/2018
5212250550,Warrnambool,334.98,URGs Application - Successful FC2018/06852,6/06/2018
9333090300,Portland,500,URGs Application - Successful FC2018/06860,6/06/2018
9330732750,Portland,413.2,URGs Application - Successful - FC2018/07889,13/06/2018
9132320950,Heywood,500,URGs Application - Successful - FC2018/08058,18/06/2018
9232983850,Port Fairy,500,URGs Application - Successful - FC2018/08059,18/06/2018
3610130050,Mortlake,NULL,URGs Application - Successful - FC2018/08340,27/06/2018
5203310450,Warrnambool,NULL,URGs Application - Successful - FC2018/08345,27/06/2018
5208080400,Warrnambool,NULL,URGs Application - Successful - FC2018/08346,27/06/2018
5209270200,Warrnambool,NULL,URGs Application - Successful - FC2018/08348,27/06/2018
5213200120,Warrnambool,NULL,URGs Application - Successful,27/06/2018
9333100550,Portland,NULL,URGs Application - Successful,27/06/2018
3205620350,Koroit,500,URGs Application - Successful - FC2018/08355,27/06/2018
744292200,Hamilton,500,URGs Application - Successful - FC2018/08653,4/07/2018
5202140800,Warrnambool,NULL,URGs Application - Successful - FC2018/08654,4/07/2018
9333602050,Portland,NULL,URGs Application - Successful,4/07/2018
9131831050,Heywood,NULL,URGs Application - Successful,4/07/2018
3002795800,Cobden,NULL,URGs Application - Successful - FC2018/08675,4/07/2018
742982000,Hamilton,305.11,URGs Application - Successful,10/07/2018
541180950,Dunkeld,NULL,URGs Application - Successful,12/07/2018
3607320400,Mortlake,650,URGs Application - Successful FC2018/09101,17/07/2018
3205620250,Koroit,NULL,URGs Application - Successful - FC2018/09481,25/07/2018
9330733300,Portland,NULL,URGs Application - Successful - FC2018/09483,25/07/2018
9333261300,Portland,478.99,URGs Application - Successful,26/07/2018
9330734950,Portland,543.05,URGs Application - Successful,26/07/2018
1040730300,Penshurst,650,URGs Application - Successful FC2018/09687,30/07/2018
2209140100,Camperdown,650,URGs Application - Successful FC2018/09690,30/07/2018
9003530650,Dartmoor,477.72,URGs Application - Successful FC2018/09692,31/07/2018
5200463850,Warrnambool,392.06,URGs Application - Successful FC2018/09705,31/07/2018
5208805220,Dennington,523.72,URGs Application - Successful FC2018/09709,31/07/2018
5212392150,Warrnambool,313.45,URGs Application - Successful FC2018/09710,31/07/2018
9330632400,Portland,553.18,URGs Application - Successful FC2018/09711,31/07/2018
9330632400,Portland,553.18,URGs Application - Successful,31/07/2018
9331301020,Portland,511.13,URGs Application - Successful FC2018/09712,31/07/2018
5203262090,Warrnambool,650,URGs Application - Successful FC2018/09713,31/07/2018
5203262090,Warrnambool,NULL,URGs Application - Successful,31/07/2018
740141700,Hamilton,650,NULL,31/07/2018
3605801850,Mortlake,650,URGs Application - Successful,6/08/2018
241510600,Casterton,650,URGs Application - Successful FC2018/10145,7/08/2018
443531950,Coleraine,650,URGs Application - Successful FC2018/10145,7/08/2018
743991100,Hamilton,387.23,URGs Application - Successful FC2018/10148,7/08/2018
744291400,Hamilton,650,URGs Application - Successful FC2018/10151,7/08/2018
1142640600,Sandford,NULL,URGs Application - Successful FC2018/10152,7/08/2018
4810303150,Terang,650,URGs Application - Successful FC2018/10154,7/08/2018
5202971150,Warrnambool,650,URGs Application - Successful FC2018/10155,7/08/2018
5207410800,Warrnambool,611.27,URGs Application - Successful FC2018/10159,7/08/2018
5214220550,Warrnambool,314.84,URGs Application - Successful FC2018/10162,7/08/2018
9332790650,Portland,542.07,URGs Application - Successful FC2018/10162,7/08/2018
741891100,Hamilton,NULL,URGs Application - Successful - FC2018/10613,15/08/2018
2203852900,Camperdown,650,URGs Application - Successful - FC2018/10621,15/08/2018
2209141100,Camperdown,NULL,URGs Application - Successful - FC2018/10623,15/08/2018
9232900060,Port Fairy,NULL,URGs Application - Successful - FC2018/10624 - $372.77,15/08/2018
9330580550,Portland,650,URGs Application - Successful,15/08/2018
3202510350,Koroit,NULL,URGs Application - Successful - FC2018/10925,23/08/2018
5200950900,Warrnambool,NULL,URGs Application - Successful - FC2018/10927,23/08/2018
5206350850,Warrnambool,NULL,URGs Application - Successful - FC2018/10929,23/08/2018
9333380200,Portland,NULL,URGs Application - Successful - FC2018/10933,23/08/2018
743740250,Hamilton,NULL,URGs Application - Successful - FC2018/11069,28/08/2018
1040241350,Penshurst,431.96,URGs Application - Successful - FC2018/11086,28/08/2018
140750850,Balmoral,650,URGs Application - Successful - FC2018/11442,4/09/2018
9333380950,Portland,NULL,URGs Application - Successful - FC2018/11452,4/09/2018
544130250,Dunkeld,527.02,URGs Application - Successful,12/09/2018
5205160100,Dennington,500,URGs Application - Successful,12/09/2018
3609710500,Mortlake,650,URGs Application - Successful,12/09/2018
1040890900,Penshurst,383.68,URGs Application - Successful,12/09/2018
3610921700,Mortlake,239.02,URGs Application - Successful - FC2018/12208,26/09/2018
3008370350,Cobden,NULL,URGs Application - Successful - FC2018/12211,26/09/2018
9330611100,Portland,NULL,URGs Application - Successful - FC2018/12214,26/09/2018
5206900450,Warrnambool,NULL,URGs Application - Successful - FC2018/12216,26/09/2018
9132182450,Heywood,NULL,URGs Application - Successful - FC2018/12218,26/09/2018
5200550200,Warrnambool,NULL,URGs Application - Successful - FC2018/12220,26/09/2018
9331845700,Portland,NULL,URGs Application - Successful - FC2018/12399,2/10/2018
240130700,Casterton,NULL,URGs Application - Successful - FC2018/12400,2/10/2018
5204840320,Dennington,NULL,URGs Application - Successful - FC2018/12751,9/10/2018
2209300700,Camperdown,NULL,URGs Application - Successful - FC2018/12753,9/10/2018
5205912200,Warrnambool,NULL,URGs Application - Successful - FC2018/12755,9/10/2018
5210430600,Warrnambool,650,URGs Application - Successful,9/10/2018
8107670725,Carpendeit,NULL,URGs Application - Successful - FC2018/12757,9/10/2018
9231310750,Port Fairy,NULL,URGs Application - Successful - FC2018/12759,9/10/2018
9333852050,Portland,NULL,URGs Application - Successful - FC2018/12760,9/10/2018
3601300550,Mortlake,650,URGs Application - Successful fc2018/13114,18/10/2018
5200420870,Warrnambool,80.53,URGs Application - Successful FC2018/13115,18/10/2018
5206940180,Warrnambool,650,URGs Application - Successful FC2018/13116,18/10/2018
5211060900,Warrnambool,255.23,URGs Application - Successful FC2018/13118,18/10/2018
2203850200,Camperdown,293.92,URGs Application - Successful FC2018/13303,23/10/2018
740401750,Hamilton,608.61,URGs Application - Successful FC2018/13305,23/10/2018
3004660050,Cobden,NULL,URGs Application - Successful - FC2018/13588,30/10/2018
5002040850,Timboon,NULL,URGs Application - Successful - FC2018/13590,30/10/2018
3607941700,Mortlake,650,URGs Application - Successful - FC2018/13887,7/11/2018
5003530300,Timboon,NULL,URGs Application - Successful - FC2018/14164,13/11/2018
5206151100,Warrnambool,NULL,URGs Application - Successful - FC2018/14166,13/11/2018
942440550,Merino,650,URGs Application - Successful - FC2018/14695,27/11/2018
5202973200,Warrnambool,650,URGs Application - Successful -FC2018/14698,27/11/2018
442873300,Coleraine,204.53,URGs Application - Successful,5/12/2018
4804584000,Terang,615.11,URGs Application - Successful - FC2018/15534,12/12/2018
5206151720,Warrnambool,381.82,URGs Application - Successful - FC2018/15537,12/12/2018
9232902740,Port Fairy,650,URGs Application - Successful - FC2018/15538,12/12/2018
743815650,Hamilton,650,URGs Application - Successful - FC2018/15728,18/12/2018
9132320200,Heywood,545,URGs Application - Successful - FC2018/15730,18/12/2018
241957550,Casterton,650,URGs Application - Successful FC2018/16064,27/12/2018
2201431800,Camperdown,650,URGs Application - Successful FC2018/16066,27/12/2018
5204491250,Warrnambool,650,URGs Application - Successful FC2018/16067,27/12/2018
5214070500,Warrnambool,650,URGs Application - Successful FC2018/16069,27/12/2018
9330641300,Portland,NULL,URGs Application - Successful,10/01/2019
3610451800,Mortlake,650,URGs Application - Successful,10/01/2019
5202973200,Warrnambool,NULL,URGs Application - Successful,10/01/2019
443532000,Coleraine,NULL,URGs Application - Successful,10/01/2019
2206191000,Camperdown,650,URGs Application - Successful,10/01/2019
444731350,Coleraine,543.92,URGs Application - Successful,10/01/2019
2201140500,Camperdown,NULL,URGs Application - Successful,10/01/2019
9332661500,Portland,650,URGs Application - Successful FC2019/00433,16/01/2019
9331910300,Portland,388.63,URGs Application - Successful - FC2019/00435,16/01/2019
9330650600,Portland,428.33,URGs Application - Successful - FC2019/00436,16/01/2019
244600400,Casterton,415.19,URGs Application - Successful - FC2019/00440,16/01/2019
442952750,Coleraine,493.97,URGs Application - Successful,17/01/2019
444730800,Coleraine,650,URGs Application - Successful,17/01/2019
740860350,Hamilton,NULL,URGs Application - Successful,17/01/2019
742231950,Hamilton,587.3,URGs Application - Successful,17/01/2019
8307070150,South Purrumbete,650,URGs Application - Successful,17/01/2019
9231881300,Port Fairy,NULL,URGs Application - Successful,17/01/2019
9330130500,Portland,NULL,URGs Application - Successful,17/01/2019
741620900,Hamilton,650,URGs Application - Successful - FC2019/00642,22/01/2019
744270100,Hamilton,429.02,URGs Application - Successful - FC2019/00644,22/01/2019
2202980250,Camperdown,650,URGs Application - Successful - FC2019/00645,22/01/2019
3600922725,Mortlake,650,URGs Application - Successful - FC2019/00648,22/01/2019
4809920150,Terang,NULL,URGs Application - Successful - FC2019/00650,22/01/2019
5205560250,Warrnambool,408.36,URGs Application - Successful - FC2019/00652,22/01/2019
9231040050,Port Fairy,524.97,URGs Application - Successful - FC2019/00653,22/01/2019
5207000550,Warrnambool,NULL,URGs Application - Successful,30/01/2019
3609710950,Mortlake,296.57,URGs Application - Successful,30/01/2019
9130480450,Heywood,650,URGs Application - Successful - FC2019/01242,6/02/2019
5210732250,Warrnambool,444.25,URGs Application - Successful - FC2019/01245,6/02/2019
5206171950,Warrnambool,650,URGs Application - Successful - FC2019/01254,6/02/2019
5204381500,Warrnambool,360.47,URGs Application - Successful - FC2019/01256,6/02/2019
5203301850,Warrnambool,521.6,URGs Application - Successful - FC2019/01500,12/02/2019
5208140900,Dennington,433.95,URGs Application - Successful - FC2019/01502,12/02/2019
9330347550,Portland,587.88,URGs Application - Successful - FC2019/01504,12/02/2019
740410100,Hamilton,650,URGs Application - Successful FC2019/01742,18/02/2019
2400910250,Boorcan,584.57,URGs Application - Successful - FC2019/01743,18/02/2019
5206171000,Warrnambool,647.31,URGs Application - Successful FC2019/01746,18/02/2019
9132321300,Heywood,650,URGs Application - Successful FC2019/0149,18/02/2019
9333600850,Portland,377.1,URGs Application - Successful FC2019/01751,18/02/2019
5205031250,Warrnambool,155.14,URGs Application - Successful FC2019/01990,25/02/2019
3610920500,Mortlake,650,URGs Application - Successful FC2019/01991,25/02/2019
5207275550,Warrnambool,650,URGs Application - Successful FC2019/01994,25/02/2019
9232902750,Port Fairy,635.75,URGs Application - Successful FC2019/01996,25/02/2019
9331302440,Portland,NULL,URGs Application - Successful,6/03/2019
3609710450,Mortlake,NULL,URGs Application - Successful,6/03/2019
4810003200,Terang,NULL,URGs Application - Successful,6/03/2019
9331302440,Portland,650,URGs Application - Successful,6/03/2019
9330250100,Portland,650,URGs Application - Successful,6/03/2019
544801100,Dunkeld,NULL,URGs Application - Successful,13/03/2019
5200430400,Warrnambool,640.45,URGs Application - Successful,13/03/2019
5204843400,Dennington,506.3,URGs Application - Successful,13/03/2019
5208781450,Warrnambool,183.31,URGs Application - Successful,13/03/2019
8103970150,Carpendeit,NULL,URGs Application - Successful,14/03/2019
9330881900,Portland,650,URGs Application - Successful,14/03/2019
9332410050,Portland,NULL,URGs Application - Successful,14/03/2019
741450100,Hamilton,NULL,URGs Application - Successful,14/03/2019
742071150,Hamilton,NULL,URGs Application - Successful,14/03/2019
9333741450,Portland,NULL,URGs Application - Successful,14/03/2019
5210730200,Warrnambool,524.46,URGs Application - Successful - FC2019/02910,25/03/2019
440530750,Coleraine,611.23,URGs Application - Successful - FC2019/03264,3/04/2019
3605360550,Mortlake,527.56,URGs Application - Successful - FC2019/03265,3/04/2019
5204981650,Warrnambool,407.07,URGs Application - Successful - FC2019/03267,3/04/2019
5211282200,Warrnambool,596.58,URGs Application - Successful - FC2019/03270,3/04/2019
9131260350,Heywood,499.41,URGs Application - Successful - FC2019/03275,3/04/2019
743680400,Hamilton,573,URGs Application - Successful - FC2019/03460,9/04/2019
740773700,Hamilton,NULL,URGs Application - Successful - FC2019/03707,16/04/2019
5202140450,Warrnambool,NULL,URGs Application - Successful - FC2019/03708,16/04/2019
5206314540,Warrnambool,NULL,URGs Application - Successful,24/04/2019
5206314540,Warrnambool,650,URGs Application - Successful FC2019/03837,24/04/2019
744292500,Hamilton,NULL,URGs Application - Successful - FC2019/03840,24/04/2019
5207276300,Warrnambool,454.75,URGs Application - Successful - FC2019/03841,24/04/2019
5207720400,Warrnambool,NULL,URGs Application - Successful - FC2019/03861,24/04/2019
9330660350,Portland,650,URGs Application - Successful FC2019/03883,24/04/2019
244090700,Casterton,650,URGs Application - Successful - FC2019/04213,6/05/2019
3002310550,Cobden,NULL,URGs Application - Successful - FC2019/04215,6/05/2019
742295700,Hamilton,NULL,URGs Application - Successful - FC2019/04216,6/05/2019
5205160600,Dennington,335.52,URGs Application - Successful - FC2019/04217,6/05/2019
5211270150,Warrnambool,NULL,URGs Application - Successful - FC2019/04226,7/05/2019
9331752050,Bolwarra,NULL,URGs Application - Successful - FC2019/04227,7/05/2019
440650900,Coleraine,456.78,URGs Application - Successful - FC2019/04555,14/05/2019
743740050,Hamilton,409.32,URGs Application - Successful - FC2019/04559,14/05/2019
9332210650,Portland,650,URGs Application - Successful - FC2019/04560,14/05/2019
741941600,Hamilton,NULL,URGs Application - Successful - FC2019/04956,23/05/2019
4808490400,Terang,190.42,URGs Application - Successful FC2019/04976,23/05/2019
3411120600,Lismore,650,URGs Application - Successful FC2019/04978,23/05/2019
1040240900,Penshurst,316.82,URGs Application - Successful FC2019/04981,23/05/2019
9233590600,Port Fairy,650,URGs Application - Successful - FC2019/05151,28/05/2019
742220400,Hamilton,NULL,URGs Application - Successful - FC2019/05677,13/06/2019
9333370100,Portland,NULL,URGs Application - Successful,13/06/2019
743192000,Hamilton,600.83,URGs Application - Successful FC2019/05899,19/06/2019
9333673150,Portland,150,URGs Application - Successful FC2019/05900,19/06/2019
5206750750,Warrnambool,650,URGs Application - Successful - FC2019/06110,25/06/2019
5200080775,Warrnambool,NULL,URGs Application - Successful - FC2019/06367,1/07/2019
441460050,Coleraine,NULL,URGs Application - Successful - FC2019/06368,1/07/2019
940780050,Merino,650,URGs Application - Successful - FC2019/06626,9/07/2019
5208801410,Warrnambool,NULL,URGs Application - Successful - FC2019/06627,9/07/2019
9131152100,Heywood,NULL,URGs Application - Successful - FC2019/06631,9/07/2019
9132182350,Heywood,NULL,URGs Application - Successful,9/07/2019
2604260050,Caramut,NULL,URGs Application - Successful - FC2019/06671,9/07/2019
5213190110,Warrnambool,NULL,URGs Application - Successful - FC2019/06887,16/07/2019
5204350200,Warrnambool,650,URGs Application - Successful - FC2019/06889,16/07/2019
5205430600,Warrnambool,501.95,URGs Application - Successful,25/07/2019
9130670300,Heywood,650,URGs Application - Successful,25/07/2019
5202891000,Warrnambool,650,URGs Application - Successful FC2019/07391,25/07/2019
3806630900,Noorat,650,URGs Application - Successful,25/07/2019
5200501150,Warrnambool,443.93,URGs Application - Successful,25/07/2019
743991200,Hamilton,NULL,URGs Application - Successful - FC2019/07749,1/08/2019
2011402700,Allansford,650,URGs Application - Successful,1/08/2019
5210430550,Warrnambool,473.98,URGs Application - Successful,1/08/2019
742561700,Hamilton,650,URGs Application - Successful,1/08/2019
9231650250,Port Fairy,390.65,URGs Application - Successful - FC2019/07981,6/08/2019
241957650,Casterton,650,URGs Application - Successful - FC2019/07982,6/08/2019
3609471100,Mortlake,650,URGs Application - Successful - FC2019/07983,6/08/2019
640230350,Glenthompson,NULL,URGs Application - Successful - FC2019/08329,13/08/2019
740312000,Hamilton,NULL,URGs Application - Successful - FC2019/08331,13/08/2019
5206151040,Warrnambool,NULL,URGs Application - Successful - FC2019/08332,13/08/2019
5206151500,Warrnambool,NULL,URGs Application - Successful - FC2019/08333,13/08/2019
744243800,Hamilton,NULL,URGs Application - Successful - FC2019/08334,13/08/2019
3010380950,Cobden,NULL,URGs Application - Successful - FC2019/08336,13/08/2019
5205370350,Warrnambool,650,URGs Application - Successful - FC2019/08338,13/08/2019
743160450,Hamilton,650,URGs Application - Successful,21/08/2019
741522450,Hamilton,248.2,URGs Application - Successful,21/08/2019
5205223700,Warrnambool,524.2,URGs Application - Successful - FC2019/08836,21/08/2019
5205420350,Warrnambool,650,URGs Application - Successful - FC2019/08843,21/08/2019
740970600,Hamilton,341.42,URGs Application - Successful D2019/048716,26/08/2019
3009310750,Cobden,NULL,URGs Application - Successful,5/09/2019
9332120400,Portland,NULL,URGs Application - Successful,5/09/2019
3805760050,Glenormiston,NULL,URGs Application - Successful,5/09/2019
5207902550,Warrnambool,NULL,URGs Application - Successful,5/09/2019
5210734450,Warrnambool,650,URGs Application - Successful,5/09/2019
5202140600,Warrnambool,524.43,URGs Application - Successful FC2019/09643,9/09/2019
8107670100,Carpendeit,438.12,URGs Application - Successful FC2019/09646,9/09/2019
5201220250,Warrnambool,649.18,URGs Application - Successful FC2019/09647,9/09/2019
742490100,Hamilton,158.6,URGs Application - Successful,19/09/2019
3605802150,Mortlake,459.03,URGs Application - Successful,19/09/2019
5204310200,Warrnambool,391.64,URGs Application - Successful,19/09/2019
242991900,Casterton,650,URGs Application - Successful,19/09/2019
9333602050,Portland,650,URGs Application - Successful FC2019/10156,24/09/2019
9332371650,Portland,352.92,URGs Application - Successful FC2019/10160,24/09/2019
9130430250,Heywood,352.23,URGs Application - Successful FC2019/10162,24/09/2019
5207290150,Warrnambool,571.66,URGs Application - Successful FC2019/10163,24/09/2019
3806630650,Noorat,292.76,URGs Application - Successful FC2019/10165,24/09/2019
241570300,Casterton,650,URGs Application - Successful FC2019/10168,24/09/2019
5200441550,Warrnambool,608.14,URGs Application - Successful - FC2019/10394,2/10/2019
5204170350,Warrnambool,515.65,URGs Application - Successful - FC2019/10395,2/10/2019
9331302440,Portland,650,URGs Application - Successful - FC2019/10396,2/10/2019
9332410650,Portland,626.71,URGs Application - Successful - FC2019/10398,2/10/2019
9332515150,Portland,260.69,URGs Application - Successful - FC2019/10399,2/10/2019
440653450,Coleraine,570.05,URGs Application - Successful - FC2019/11109,21/10/2019
740970800,Hamilton,650,URGs Application - Successful - FC2019/11110,21/10/2019
742272050,Hamilton,627.49,URGs Application - Successful - FC2019/1112,21/10/2019
9332681200,Portland,539.16,URGs Application - Successful - FC2019/11114,21/10/2019
3605360010,Mortlake,365.84,URGs Application - Successful FC2019/11344,25/10/2019
2401780400,Boorcan,650,URGs Application - Successful FC2019/11345,25/10/2019
5208802370,Warrnambool,650,URGs Application - Successful FC2019/11346,25/10/2019
5206952500,Warrnambool,650,URGs Application - Successful FC2019/11551,31/10/2019
5206952500,Warrnambool,NULL,URGs Application - Successful,31/10/2019
5205160100,Dennington,650,URGs Application - Successful FC2019/11552,31/10/2019
5202704050,Warrnambool,446.88,URGs Application - Successful FC2019/11557,31/10/2019
743750800,Hamilton,650,URGs Application - Successful - FC2019/11877,6/11/2019
9331340600,Portland,377.97,URGs Application - Successful,14/11/2019
743192100,Hamilton,650,URGs Application - Successful,20/11/2019
