fk_financial_year,month,pk_porg,pk_account,pension_type_desc,amt_debit
202223,12,119104,30044728,Social Security,0
202223,12,158577,30107919,Social Security,25.7
202324,12,51939,10013567,Social Security,0
202324,12,86518,30037091,Social Security,244.33
201920,12,32271,10000641,Social Security,0
202122,12,121655,30076761,Social Security,0
202223,12,28903,10018789,Social Security,0
202425,12,101696,30030937,Social Security,0
202021,12,37356,10005835,Social Security,0
201718,12,83639,30036888,Social Security,133.41
202122,12,143181,30033652,Social Security,198.66
202324,12,135949,10006563,Health Card,497.1
202425,12,88392,30041361,NULL,285.27
202324,12,135513,30082361,Social Security,603.62
202122,12,125749,10012799,Social Security,289.09
202324,12,63444,30007870,Health Card,0
202425,12,76328,30018903,Social Security,69.26
201819,12,43828,10020500,Health Card,165.53
202122,12,27616,30067607,Health Card,0
201718,12,120884,30066659,Social Security,0
202223,12,152877,30035959,Health Card,189.65
201718,12,27578,30002578,Social Security,0
202425,12,140928,30016600,Health Card,0
201819,12,86061,30036628,NULL,6.72
201718,12,103133,30087554,Social Security,0
201920,12,7893,10006053,Social Security,0
201920,12,139697,30094833,Health Card,78.83
202324,12,104628,30075980,Social Security,0
201718,12,132374,30017644,Social Security,195.63
202223,12,100611,30047622,Health Card,3.31
202425,12,4711,30030379,NULL,198.7
201819,12,127013,30038643,Social Security,214.1
202425,12,73004,30119349,Social Security,0
201920,12,89219,30088277,Social Security,0
202021,12,28730,10002228,Social Security,0
202425,12,149753,30038433,Health Card,228.32
202425,12,141608,30026519,Social Security,0
201718,12,104317,30021704,Social Security,0
202122,12,53818,30015339,Social Security,1.79
202425,12,144034,10022449,Social Security,0
201920,12,111338,10013674,Social Security,22.81
202223,12,37782,10019546,Social Security,160.41
201819,12,67353,30026046,Social Security,0
201718,12,141582,30088585,Health Card,22.7
202021,12,62174,30029757,Health Card,0
202223,12,90438,30037823,Health Card,184.98
201819,12,9299,10009198,Health Card,0
202021,12,148669,10006646,Health Card,0
202021,12,134751,30036892,Health Card,0
202122,12,45634,30100403,Social Security,0
202425,12,42660,10000931,Health Card,0
202223,12,33024,10002304,Health Card,0
202324,12,96668,30099220,Health Card,0
202324,12,83187,30035253,Health Card,161.46
202425,12,117127,30090514,Health Card,0
201819,12,142414,10013328,Health Card,0
202324,12,93096,30034278,Health Card,263.78
201718,12,109728,10007501,Health Card,7007.7
201920,12,36383,30016194,Social Security,0
202425,12,120227,30106512,Health Card,33.12
202122,12,149271,30097437,Health Card,233.19
202324,12,18291,30096411,Health Card,0
202021,12,143123,30050656,Health Card,166.18
201819,12,122889,30080313,Social Security,341.8
202425,12,88462,30039044,Social Security,174.84
202021,12,146027,30021751,Social Security,0
201920,12,83606,30034031,Social Security,131.28
201819,12,80003,30036319,NULL,0
202223,12,141074,30105069,Health Card,199.47
202425,12,143116,30090218,Social Security,0
202425,12,151992,30119132,Health Card,0
202223,12,133133,30079770,Social Security,0
202324,12,144765,30032929,Social Security,0
202324,12,49444,30112434,Social Security,25.05
201718,12,112866,30087195,Social Security,0
202122,12,109523,30038251,Health Card,448.65
201718,12,2628,10002527,Social Security,59.59
202223,12,89332,30034977,Social Security,210.68
202324,12,155451,30024727,Health Card,97.7
201920,12,19214,10019113,Social Security,0
201718,12,27456,30002456,Social Security,0
202425,12,94512,30038452,Social Security,0
201718,12,20515,10020414,Social Security,201.73
201819,12,39522,10021280,Health Card,0
202122,12,141952,30038912,Social Security,0
201819,12,145452,10019064,Social Security,0
201920,12,143424,30039104,Social Security,74.43
202021,12,89612,30040194,Social Security,0
202122,12,152437,30101179,Social Security,0
202223,12,99851,30059962,Health Card,43.36
201718,12,38512,10016062,Social Security,12623.35
202021,12,141885,30088827,Social Security,2.91
201718,12,129398,30075940,Social Security,0
202223,12,102784,30104189,Social Security,0
201819,12,42601,30093630,Social Security,1510.5
201819,12,144037,10017809,Health Card,0
201920,12,118865,30075961,Social Security,65.7
201819,12,139669,30045035,Social Security,232.66
202122,12,8510,10008409,Health Card,23.39
201718,12,90474,30035416,Health Card,167.34
202425,12,84204,30034672,Social Security,185.7
202223,12,19731,30013066,Social Security,0
202425,12,85159,30032915,Social Security,203.01
201920,12,19999,10019898,Social Security,190.78
202223,12,10573,30072379,Social Security,166.31
201920,12,116080,10018156,Social Security,188.16
202324,12,87811,30038390,Social Security,209.1
202223,12,131832,30038822,Social Security,61.44
202021,12,45829,10019657,Social Security,0
202324,12,117435,10019184,Social Security,0
201819,12,130467,30079199,Social Security,927.09
202122,12,128600,30075270,Social Security,0
202223,12,153121,30102161,Social Security,149.62
202021,12,145791,30051228,Social Security,0
201718,12,137548,30084388,Social Security,0
202122,12,112284,30058536,Health Card,8.54
202425,12,135362,30034727,Social Security,187.84
201920,12,9597,10009496,Social Security,0.94
202122,12,32677,30011749,Social Security,177.97
201920,12,89228,30089412,Social Security,0
201920,12,89354,30053719,Social Security,0
201819,12,89621,30040203,Social Security,0
202324,12,157301,30106511,Health Card,50.05
202425,12,104810,10002771,Social Security,0
201920,12,60544,30017881,Social Security,0
202021,12,19280,10019179,Social Security,23.05
202324,12,117725,30022554,Social Security,302.23
201819,12,75541,30028450,Health Card,239.84
202021,12,93035,30083494,Health Card,0
202425,12,36169,30070081,Health Card,327.53
202021,12,146306,30101190,Social Security,0
202425,12,97778,30037719,Social Security,24.2
202223,12,83348,30033754,Social Security,0
202021,12,52102,10018349,Social Security,162.36
201819,12,90268,30070781,Social Security,0
201920,12,95756,30037679,Social Security,86.41
202122,12,90085,30023819,Health Card,0
202122,12,143671,30091011,Social Security,18.07
201718,12,48479,10006755,Social Security,0
202324,12,42914,10002509,Social Security,0
201819,12,75885,30082131,Social Security,0
202021,12,89483,30040065,Social Security,0
201819,12,96254,30035408,Social Security,0
201718,12,42192,10012602,Social Security,241.82
202122,12,49349,30072369,Health Card,0
201819,12,140487,30087340,Social Security,0
201920,12,36126,30062697,Veteran,0
202223,12,116526,30062036,Social Security,0
201718,12,51139,30012644,Social Security,0
202223,12,159551,30109042,Social Security,32.03
202223,12,130692,30018639,Health Card,0
202122,12,86506,30037079,Social Security,185.7
201718,12,1692,30005220,Health Card,0
201718,12,83080,30033474,Social Security,0
202324,12,84575,30035050,Social Security,0
202425,12,34586,10005877,Social Security,0
202021,12,103216,30051565,Social Security,0
202324,12,85480,30036038,Health Card,233.01
202425,12,102325,30078752,Health Card,49.77
201718,12,131894,30084468,Social Security,32.59
201819,12,109067,30056588,Social Security,976.84
201819,12,33150,10006512,Health Card,254.83
202223,12,89526,30040108,Social Security,6.63
201718,12,75203,30084560,Health Card,0
201718,12,133225,30086690,Health Card,0
201718,12,93996,30088900,Social Security,43.41
201819,12,115989,10018788,Health Card,41.08
201819,12,105959,30038782,Social Security,55.89
202324,12,6389,10006288,Social Security,0
201718,12,81403,30031714,Social Security,170.03
202021,12,66064,30026554,Social Security,0
202122,12,106616,30085911,Social Security,0
202324,12,17967,10017866,Social Security,62.13
201718,12,112789,10001370,Social Security,0
201920,12,112269,30076862,Social Security,0
202021,12,26369,30089039,Social Security,19.65
202223,12,104004,10014965,Social Security,173
201920,12,583,10000482,Social Security,0
202021,12,37127,10012729,Social Security,0
202425,12,113773,30055629,Health Card,4372.78
201819,12,70181,30027577,Social Security,0
202021,12,119177,30064690,Social Security,44.59
202122,12,18603,10018502,Veteran,193.14
202425,12,133194,10014198,Health Card,0
202425,12,116295,30035417,Social Security,2.58
202425,12,104753,30036315,NULL,61.52
201920,12,22058,10021957,Social Security,0
202122,12,36001,10009061,Social Security,0
201718,12,133173,10017443,Social Security,41.09
202223,12,134348,30095041,Social Security,0
202223,12,132680,30107420,Social Security,113.65
202223,12,159781,30109235,Social Security,0
202324,12,45513,10018956,Social Security,19.93
202324,12,115175,30105537,Social Security,556.11
201718,12,139558,30086641,Health Card,0
201819,12,143368,30037202,Social Security,170.3
202021,12,139340,30080136,Veteran,0
202122,12,73893,30023983,Social Security,0
201718,12,112631,30043022,Social Security,194.94
202324,12,118627,30109743,Social Security,256.34
202122,12,88197,30038469,Social Security,0
202425,12,12744,10012643,Social Security,199.42
202021,12,82889,30033271,Social Security,0
202425,12,4014,10003913,NULL,210.29
202425,12,8100,10007999,Social Security,273.31
202425,12,44261,30064892,Social Security,26.97
201819,12,36700,30075497,Health Card,10.62
202425,12,69983,30022152,Social Security,0
201819,12,126973,30036335,Social Security,0
202223,12,89573,30039118,Social Security,39.96
202324,12,108991,30023927,Social Security,180.81
202425,12,134059,30105904,Social Security,97.57
202324,12,136019,30039053,Health Card,63.61
201718,12,86943,30037178,Health Card,201.03
202223,12,151764,30036734,Health Card,22.32
201920,12,113857,30017238,Social Security,0
202223,12,117746,30099338,Health Card,0
202122,12,126176,30091218,Social Security,0
202324,12,110756,30054034,Health Card,368.57
201819,12,143121,30033581,Social Security,0
202122,12,33609,30052080,Social Security,159.91
202425,12,147786,10000929,Social Security,0
202021,12,120847,30088401,Social Security,0
202324,12,82344,30032709,Social Security,0
202425,12,90261,30096486,Health Card,0
201920,12,143445,30090680,Social Security,2.78
201819,12,6975,10006874,Social Security,0
202223,12,150772,10018012,Health Card,186.77
201920,12,140487,30087340,Social Security,0
202122,12,97141,30102965,Health Card,0
202324,12,153239,30102527,Health Card,19.47
202425,12,138572,30114560,Health Card,28.66
201718,12,30339,30044626,Social Security,0
202223,12,124992,30075608,Social Security,0
201920,12,71958,30088483,Social Security,0
