pk_account,amount,urgs_application_status,evt_datetime
30080979,500,URGs Application - Successful - FC2018/03946,17/04/2018
30037115,377.2,URGs Application - Successful,17/04/2018
30087318,200,URGs Application - Successful,17/04/2018
10021470,470.97,URGs Application - Successful,17/04/2018
30075685,446.5,URGs Application - Successful,17/04/2018
30067303,478.39,URGs Application - Successful,17/04/2018
30019676,210.1,URGs Application - Successful,17/04/2018
30023619,500,URGs Application - Successful,17/04/2018
10015692,500,URGs Application - Successful - FC2018/03995,18/04/2018
10000530,NULL,URGs Application - Successful - FC2018/04001,18/04/2018
30088366,NULL,URGs Application - Successful - FC2018/04002,18/04/2018
30017881,NULL,URGs Application - Successful - FC2018/04004,18/04/2018
30017931,NULL,URGs Application - Successful - FC2018/04005,18/04/2018
30022115,NULL,URGs Application - Successful - FC2018/04006,18/04/2018
30038819,500,URGs Application - Successful,26/04/2018
30081096,500,URGs Application - Successful,26/04/2018
10017384,480.61,URGs Application - Successful,26/04/2018
30086660,410.76,URGs Application - Successful,26/04/2018
10019308,500,URGs Application - Successful,26/04/2018
30018118,500,URGs Application - Successful,26/04/2018
30070967,500,URGs Application - Successful - FC2018/04789,7/05/2018
10020452,854.51,URGs Application - Successful - FC2018/04791,7/05/2018
30040050,399.77,URGs Application - Successful,10/05/2018
30015215,300,URGs Application - Successful,10/05/2018
30021389,317.73,URGs Application - Successful,10/05/2018
30021743,NULL,URGs Application - Successful,10/05/2018
30070726,500,URGs Application - Successful,10/05/2018
30081088,500,URGs Application - Successful - FC2018/05127,10/05/2018
30089073,488.38,URGs Application - Successful - FC2018/05131,10/05/2018
30023237,NULL,URGs Application - Successful - FC2018/05135,10/05/2018
30035843,500,URGs Application - Successful - FC2018/05316,15/05/2018
30034934,500,URGs Application - Successful,15/05/2018
30079339,305.84,URGs Application - Successful - FC2018/05322,15/05/2018
30081069,NULL,URGs Application - Successful - FC2018/05325,15/05/2018
30023604,273.25,URGs Application - Successful - FC2018/05327,15/05/2018
30028512,NULL,URGs Application - Successful - FC2018/05329,15/05/2018
30036680,500,URGs Application - Successful - FC2018/05594,22/05/2018
30036872,NULL,URGs Application - Successful - FC2018/05596,22/05/2018
30088871,NULL,URGs Application - Successful - FC2018/05597,22/05/2018
10000270,NULL,URGs Application - Successful - FC2018/05600,22/05/2018
10013976,500,URGs Application - Successful - FC2018/05602,22/05/2018
30088027,NULL,URGs Application - Successful - FC2018/05603,22/05/2018
10010343,431.22,URGs Application - Successful - FC2018/05611,22/05/2018
30037480,339.58,URGs Application - Successful - FC2018/06471,29/05/2018
30089993,500,URGs Application - Successful - FC2018/06473,29/05/2018
30025304,NULL,URGs Application - Successful -FC2018/06475,29/05/2018
30038292,333.52,URGs Application - Successful FC2018/06815,5/06/2018
30040209,281.92,URGs Application - Successful FC2018/06833,5/06/2018
30034957,500,URGs Application - Successful FC2018/06834,5/06/2018
10018194,412.53,URGs Application - Successful FC2018/06839,5/06/2018
10020557,500,URGs Application - Successful FC2018/06841,5/06/2018
30087037,500,URGs Application - Successful FC2018/06849,6/06/2018
30010537,500,URGs Application - Successful FC2018/06851,6/06/2018
30010537,500,URGs Application - Successful,6/06/2018
30088589,334.98,URGs Application - Successful FC2018/06852,6/06/2018
30082745,500,URGs Application - Successful FC2018/06860,6/06/2018
30022771,413.2,URGs Application - Successful - FC2018/07889,13/06/2018
30017941,500,URGs Application - Successful - FC2018/08058,18/06/2018
30081643,500,URGs Application - Successful - FC2018/08059,18/06/2018
30082880,NULL,URGs Application - Successful - FC2018/08340,27/06/2018
30088485,NULL,URGs Application - Successful - FC2018/08345,27/06/2018
30055957,NULL,URGs Application - Successful - FC2018/08346,27/06/2018
10003123,NULL,URGs Application - Successful - FC2018/08348,27/06/2018
30079304,NULL,URGs Application - Successful,27/06/2018
30069183,NULL,URGs Application - Successful,27/06/2018
30070169,500,URGs Application - Successful - FC2018/08355,27/06/2018
30034698,500,URGs Application - Successful - FC2018/08653,4/07/2018
30054358,NULL,URGs Application - Successful - FC2018/08654,4/07/2018
30028492,NULL,URGs Application - Successful,4/07/2018
30087948,NULL,URGs Application - Successful,4/07/2018
30083757,NULL,URGs Application - Successful - FC2018/08675,4/07/2018
30033647,305.11,URGs Application - Successful,10/07/2018
30035840,NULL,URGs Application - Successful,12/07/2018
10019292,650,URGs Application - Successful FC2018/09101,17/07/2018
30088570,NULL,URGs Application - Successful - FC2018/09481,25/07/2018
30022786,NULL,URGs Application - Successful - FC2018/09483,25/07/2018
30027983,478.99,URGs Application - Successful,26/07/2018
30090062,543.05,URGs Application - Successful,26/07/2018
30036504,650,URGs Application - Successful FC2018/09687,30/07/2018
10022144,650,URGs Application - Successful FC2018/09690,30/07/2018
30083788,477.72,URGs Application - Successful FC2018/09692,31/07/2018
30083339,392.06,URGs Application - Successful FC2018/09705,31/07/2018
10002771,523.72,URGs Application - Successful FC2018/09709,31/07/2018
30059017,313.45,URGs Application - Successful FC2018/09710,31/07/2018
30022440,553.18,URGs Application - Successful FC2018/09711,31/07/2018
30022440,553.18,URGs Application - Successful,31/07/2018
30023566,511.13,URGs Application - Successful FC2018/09712,31/07/2018
30013342,650,URGs Application - Successful FC2018/09713,31/07/2018
30013342,NULL,URGs Application - Successful,31/07/2018
30083111,650,NULL,31/07/2018
30069864,650,URGs Application - Successful,6/08/2018
30085932,650,URGs Application - Successful FC2018/10145,7/08/2018
30037274,650,URGs Application - Successful FC2018/10145,7/08/2018
30031749,387.23,URGs Application - Successful FC2018/10148,7/08/2018
30039654,650,URGs Application - Successful FC2018/10151,7/08/2018
30038903,NULL,URGs Application - Successful FC2018/10152,7/08/2018
10015401,650,URGs Application - Successful FC2018/10154,7/08/2018
10000589,650,URGs Application - Successful FC2018/10155,7/08/2018
30046289,611.27,URGs Application - Successful FC2018/10159,7/08/2018
30079161,314.84,URGs Application - Successful FC2018/10162,7/08/2018
30085661,542.07,URGs Application - Successful FC2018/10162,7/08/2018
30060558,NULL,URGs Application - Successful - FC2018/10613,15/08/2018
30086114,650,URGs Application - Successful - FC2018/10621,15/08/2018
30085976,NULL,URGs Application - Successful - FC2018/10623,15/08/2018
30077147,NULL,URGs Application - Successful - FC2018/10624 - $372.77,15/08/2018
30022329,650,URGs Application - Successful,15/08/2018
10018049,NULL,URGs Application - Successful - FC2018/10925,23/08/2018
30089225,NULL,URGs Application - Successful - FC2018/10927,23/08/2018
30078266,NULL,URGs Application - Successful - FC2018/10929,23/08/2018
30088559,NULL,URGs Application - Successful - FC2018/10933,23/08/2018
30079419,NULL,URGs Application - Successful - FC2018/11069,28/08/2018
30085777,431.96,URGs Application - Successful - FC2018/11086,28/08/2018
30059112,650,URGs Application - Successful - FC2018/11442,4/09/2018
30028129,NULL,URGs Application - Successful - FC2018/11452,4/09/2018
30036047,527.02,URGs Application - Successful,12/09/2018
10001491,500,URGs Application - Successful,12/09/2018
10019577,650,URGs Application - Successful,12/09/2018
30036565,383.68,URGs Application - Successful,12/09/2018
30085264,239.02,URGs Application - Successful - FC2018/12208,26/09/2018
10017128,NULL,URGs Application - Successful - FC2018/12211,26/09/2018
30022359,NULL,URGs Application - Successful - FC2018/12214,26/09/2018
30067656,NULL,URGs Application - Successful - FC2018/12216,26/09/2018
30076090,NULL,URGs Application - Successful - FC2018/12218,26/09/2018
10000229,NULL,URGs Application - Successful - FC2018/12220,26/09/2018
30025086,NULL,URGs Application - Successful - FC2018/12399,2/10/2018
30037791,NULL,URGs Application - Successful - FC2018/12400,2/10/2018
30083810,NULL,URGs Application - Successful - FC2018/12751,9/10/2018
30075187,NULL,URGs Application - Successful - FC2018/12753,9/10/2018
30088929,NULL,URGs Application - Successful - FC2018/12755,9/10/2018
30089667,650,URGs Application - Successful,9/10/2018
30008528,NULL,URGs Application - Successful - FC2018/12757,9/10/2018
30091190,NULL,URGs Application - Successful - FC2018/12759,9/10/2018
30048431,NULL,URGs Application - Successful - FC2018/12760,9/10/2018
10019762,650,URGs Application - Successful fc2018/13114,18/10/2018
30090963,80.53,URGs Application - Successful FC2018/13115,18/10/2018
30010618,650,URGs Application - Successful FC2018/13116,18/10/2018
30082690,255.23,URGs Application - Successful FC2018/13118,18/10/2018
10021300,293.92,URGs Application - Successful FC2018/13303,23/10/2018
30031896,608.61,URGs Application - Successful FC2018/13305,23/10/2018
10013911,NULL,URGs Application - Successful - FC2018/13588,30/10/2018
30059570,NULL,URGs Application - Successful - FC2018/13590,30/10/2018
10019330,650,URGs Application - Successful - FC2018/13887,7/11/2018
10020474,NULL,URGs Application - Successful - FC2018/14164,13/11/2018
30075426,NULL,URGs Application - Successful - FC2018/14166,13/11/2018
30039118,650,URGs Application - Successful - FC2018/14695,27/11/2018
30077626,650,URGs Application - Successful -FC2018/14698,27/11/2018
30037124,204.53,URGs Application - Successful,5/12/2018
30073938,615.11,URGs Application - Successful - FC2018/15534,12/12/2018
10012378,381.82,URGs Application - Successful - FC2018/15537,12/12/2018
30020263,650,URGs Application - Successful - FC2018/15538,12/12/2018
30080828,650,URGs Application - Successful - FC2018/15728,18/12/2018
30017923,545,URGs Application - Successful - FC2018/15730,18/12/2018
30038044,650,URGs Application - Successful FC2018/16064,27/12/2018
10020943,650,URGs Application - Successful FC2018/16066,27/12/2018
10001188,650,URGs Application - Successful FC2018/16067,27/12/2018
30070069,650,URGs Application - Successful FC2018/16069,27/12/2018
30091224,NULL,URGs Application - Successful,10/01/2019
30085488,650,URGs Application - Successful,10/01/2019
30077626,NULL,URGs Application - Successful,10/01/2019
30037275,NULL,URGs Application - Successful,10/01/2019
10021568,650,URGs Application - Successful,10/01/2019
30037426,543.92,URGs Application - Successful,10/01/2019
30078769,NULL,URGs Application - Successful,10/01/2019
30026441,650,URGs Application - Successful FC2019/00433,16/01/2019
30025210,388.63,URGs Application - Successful - FC2019/00435,16/01/2019
30022554,428.33,URGs Application - Successful - FC2019/00436,16/01/2019
30038751,415.19,URGs Application - Successful - FC2019/00440,16/01/2019
30037234,493.97,URGs Application - Successful,17/01/2019
30037415,650,URGs Application - Successful,17/01/2019
30040149,NULL,URGs Application - Successful,17/01/2019
30030861,587.3,URGs Application - Successful,17/01/2019
10014027,650,URGs Application - Successful,17/01/2019
30087238,NULL,URGs Application - Successful,17/01/2019
30021256,NULL,URGs Application - Successful,17/01/2019
30033952,650,URGs Application - Successful - FC2019/00642,22/01/2019
30083565,429.02,URGs Application - Successful - FC2019/00644,22/01/2019
10021146,650,URGs Application - Successful - FC2019/00645,22/01/2019
30055629,650,URGs Application - Successful - FC2019/00648,22/01/2019
10014936,NULL,URGs Application - Successful - FC2019/00650,22/01/2019
30056896,408.36,URGs Application - Successful - FC2019/00652,22/01/2019
30018937,524.97,URGs Application - Successful - FC2019/00653,22/01/2019
30092603,NULL,URGs Application - Successful,30/01/2019
30062874,296.57,URGs Application - Successful,30/01/2019
30017260,650,URGs Application - Successful - FC2019/01242,6/02/2019
30070318,444.25,URGs Application - Successful - FC2019/01245,6/02/2019
10005316,650,URGs Application - Successful - FC2019/01254,6/02/2019
30072162,360.47,URGs Application - Successful - FC2019/01256,6/02/2019
30040762,521.6,URGs Application - Successful - FC2019/01500,12/02/2019
30066597,433.95,URGs Application - Successful - FC2019/01502,12/02/2019
30021765,587.88,URGs Application - Successful - FC2019/01504,12/02/2019
30085837,650,URGs Application - Successful FC2019/01742,18/02/2019
10016201,584.57,URGs Application - Successful - FC2019/01743,18/02/2019
30085800,647.31,URGs Application - Successful FC2019/01746,18/02/2019
30072261,650,URGs Application - Successful FC2019/0149,18/02/2019
30028450,377.1,URGs Application - Successful FC2019/01751,18/02/2019
30000734,155.14,URGs Application - Successful FC2019/01990,25/02/2019
10019614,650,URGs Application - Successful FC2019/01991,25/02/2019
30078351,650,URGs Application - Successful FC2019/01994,25/02/2019
30060645,635.75,URGs Application - Successful FC2019/01996,25/02/2019
30023666,NULL,URGs Application - Successful,6/03/2019
10019575,NULL,URGs Application - Successful,6/03/2019
10015418,NULL,URGs Application - Successful,6/03/2019
30023666,650,URGs Application - Successful,6/03/2019
30029673,650,URGs Application - Successful,6/03/2019
30040294,NULL,URGs Application - Successful,13/03/2019
30068303,640.45,URGs Application - Successful,13/03/2019
30089808,506.3,URGs Application - Successful,13/03/2019
10006109,183.31,URGs Application - Successful,13/03/2019
10017225,NULL,URGs Application - Successful,14/03/2019
30073603,650,URGs Application - Successful,14/03/2019
30088773,NULL,URGs Application - Successful,14/03/2019
30092435,NULL,URGs Application - Successful,14/03/2019
30031406,NULL,URGs Application - Successful,14/03/2019
30088736,NULL,URGs Application - Successful,14/03/2019
10010284,524.46,URGs Application - Successful - FC2019/02910,25/03/2019
30036887,611.23,URGs Application - Successful - FC2019/03264,3/04/2019
10019208,527.56,URGs Application - Successful - FC2019/03265,3/04/2019
30089485,407.07,URGs Application - Successful - FC2019/03267,3/04/2019
10006756,596.58,URGs Application - Successful - FC2019/03270,3/04/2019
30017481,499.41,URGs Application - Successful - FC2019/03275,3/04/2019
30033207,573,URGs Application - Successful - FC2019/03460,9/04/2019
30033050,NULL,URGs Application - Successful - FC2019/03707,16/04/2019
10007372,NULL,URGs Application - Successful - FC2019/03708,16/04/2019
30088470,NULL,URGs Application - Successful,24/04/2019
30088470,650,URGs Application - Successful FC2019/03837,24/04/2019
30089647,NULL,URGs Application - Successful - FC2019/03840,24/04/2019
30071957,454.75,URGs Application - Successful - FC2019/03841,24/04/2019
30002326,NULL,URGs Application - Successful - FC2019/03861,24/04/2019
30022576,650,URGs Application - Successful FC2019/03883,24/04/2019
30038718,650,URGs Application - Successful - FC2019/04213,6/05/2019
10013923,NULL,URGs Application - Successful - FC2019/04215,6/05/2019
30076134,NULL,URGs Application - Successful - FC2019/04216,6/05/2019
10001487,335.52,URGs Application - Successful - FC2019/04217,6/05/2019
30079199,NULL,URGs Application - Successful - FC2019/04226,7/05/2019
30024787,NULL,URGs Application - Successful - FC2019/04227,7/05/2019
30036915,456.78,URGs Application - Successful - FC2019/04555,14/05/2019
30083879,409.32,URGs Application - Successful - FC2019/04559,14/05/2019
30055632,650,URGs Application - Successful - FC2019/04560,14/05/2019
30035712,NULL,URGs Application - Successful - FC2019/04956,23/05/2019
30087074,190.42,URGs Application - Successful FC2019/04976,23/05/2019
30089188,650,URGs Application - Successful FC2019/04978,23/05/2019
30036444,316.82,URGs Application - Successful FC2019/04981,23/05/2019
30089795,650,URGs Application - Successful - FC2019/05151,28/05/2019
30091986,NULL,URGs Application - Successful - FC2019/05677,13/06/2019
30073083,NULL,URGs Application - Successful,13/06/2019
30033674,600.83,URGs Application - Successful FC2019/05899,19/06/2019
30028892,150,URGs Application - Successful FC2019/05900,19/06/2019
30094897,650,URGs Application - Successful - FC2019/06110,25/06/2019
30089017,NULL,URGs Application - Successful - FC2019/06367,1/07/2019
30036987,NULL,URGs Application - Successful - FC2019/06368,1/07/2019
30039132,650,URGs Application - Successful - FC2019/06626,9/07/2019
10009741,NULL,URGs Application - Successful - FC2019/06627,9/07/2019
30079996,NULL,URGs Application - Successful - FC2019/06631,9/07/2019
30093168,NULL,URGs Application - Successful,9/07/2019
10017789,NULL,URGs Application - Successful - FC2019/06671,9/07/2019
30059276,NULL,URGs Application - Successful - FC2019/06887,16/07/2019
10008018,650,URGs Application - Successful - FC2019/06889,16/07/2019
10004977,501.95,URGs Application - Successful,25/07/2019
30017296,650,URGs Application - Successful,25/07/2019
10004419,650,URGs Application - Successful FC2019/07391,25/07/2019
10015523,650,URGs Application - Successful,25/07/2019
30091791,443.93,URGs Application - Successful,25/07/2019
30031748,NULL,URGs Application - Successful - FC2019/07749,1/08/2019
10017262,650,URGs Application - Successful,1/08/2019
30079125,473.98,URGs Application - Successful,1/08/2019
30094188,650,URGs Application - Successful,1/08/2019
30019623,390.65,URGs Application - Successful - FC2019/07981,6/08/2019
30038046,650,URGs Application - Successful - FC2019/07982,6/08/2019
10019555,650,URGs Application - Successful - FC2019/07983,6/08/2019
30036241,NULL,URGs Application - Successful - FC2019/08329,13/08/2019
30093824,NULL,URGs Application - Successful - FC2019/08331,13/08/2019
10012336,NULL,URGs Application - Successful - FC2019/08332,13/08/2019
30075516,NULL,URGs Application - Successful - FC2019/08333,13/08/2019
30032257,NULL,URGs Application - Successful - FC2019/08334,13/08/2019
30093630,NULL,URGs Application - Successful - FC2019/08336,13/08/2019
10001558,650,URGs Application - Successful - FC2019/08338,13/08/2019
30034734,650,URGs Application - Successful,21/08/2019
30092181,248.2,URGs Application - Successful,21/08/2019
30072583,524.2,URGs Application - Successful - FC2019/08836,21/08/2019
30092030,650,URGs Application - Successful - FC2019/08843,21/08/2019
30092165,341.42,URGs Application - Successful D2019/048716,26/08/2019
10016747,NULL,URGs Application - Successful,5/09/2019
30087845,NULL,URGs Application - Successful,5/09/2019
30087883,NULL,URGs Application - Successful,5/09/2019
30065498,NULL,URGs Application - Successful,5/09/2019
30059774,650,URGs Application - Successful,5/09/2019
30091341,524.43,URGs Application - Successful FC2019/09643,9/09/2019
10014370,438.12,URGs Application - Successful FC2019/09646,9/09/2019
10000367,649.18,URGs Application - Successful FC2019/09647,9/09/2019
30033598,158.6,URGs Application - Successful,19/09/2019
10019246,459.03,URGs Application - Successful,19/09/2019
30040723,391.64,URGs Application - Successful,19/09/2019
30038250,650,URGs Application - Successful,19/09/2019
30028492,650,URGs Application - Successful FC2019/10156,24/09/2019
30026005,352.92,URGs Application - Successful FC2019/10160,24/09/2019
30017238,352.23,URGs Application - Successful FC2019/10162,24/09/2019
30096528,571.66,URGs Application - Successful FC2019/10163,24/09/2019
30077772,292.76,URGs Application - Successful FC2019/10165,24/09/2019
30086183,650,URGs Application - Successful FC2019/10168,24/09/2019
10006969,608.14,URGs Application - Successful - FC2019/10394,2/10/2019
10001092,515.65,URGs Application - Successful - FC2019/10395,2/10/2019
30023666,650,URGs Application - Successful - FC2019/10396,2/10/2019
30062692,626.71,URGs Application - Successful - FC2019/10398,2/10/2019
30026329,260.69,URGs Application - Successful - FC2019/10399,2/10/2019
30036966,570.05,URGs Application - Successful - FC2019/11109,21/10/2019
30086744,650,URGs Application - Successful - FC2019/11110,21/10/2019
30032884,627.49,URGs Application - Successful - FC2019/1112,21/10/2019
30026519,539.16,URGs Application - Successful - FC2019/11114,21/10/2019
30088424,365.84,URGs Application - Successful FC2019/11344,25/10/2019
10016263,650,URGs Application - Successful FC2019/11345,25/10/2019
30083802,650,URGs Application - Successful FC2019/11346,25/10/2019
30048326,650,URGs Application - Successful FC2019/11551,31/10/2019
30048326,NULL,URGs Application - Successful,31/10/2019
10001491,650,URGs Application - Successful FC2019/11552,31/10/2019
30075663,446.88,URGs Application - Successful FC2019/11557,31/10/2019
30096920,650,URGs Application - Successful - FC2019/11877,6/11/2019
30023927,377.97,URGs Application - Successful,14/11/2019
30033676,650,URGs Application - Successful,20/11/2019
30083753,251.96,URGs Application - Successful - FC2019/12447,20/11/2019
10020452,650,URGs Application - Successful - FC2019/12449,20/11/2019
30050877,NULL,URGs Application - Successful,21/11/2019
10018049,585,URGs Application - Successful - FC2019/12676,27/11/2019
30025449,650,URGs Application - Successful - FC2019/12677,27/11/2019
10021551,192.43,URGs Application - Successful - FC2019/12678,27/11/2019
30065099,302.61,URGs Application - Successful - FC2019/12680,27/11/2019
10021012,650,URGs Application - Successful - FC2019/12681,27/11/2019
10020773,650,URGs Application - Successful - FC2019/12683,27/11/2019
30054358,650,URGs Application - Successful - FC2020/00136,8/01/2020
30059925,650,URGs Application - Successful - FC2020/00139,8/01/2020
30097479,650,URGs Application - Successful - FC2020/00141,8/01/2020
30093484,650,URGs Application - Successful - FC2020/00146,8/01/2020
10020457,311.04,URGs Application - Successful - FC2020/00364,14/01/2020
30033675,650,URGs Application - Successful - FC2020/00367,14/01/2020
30029673,650,URGs Application - Successful - FC2020/00381,15/01/2020
30087318,650,URGs Application - Successful,22/01/2020
30019157,112.34,URGs Application - Successful,22/01/2020
30035480,650,URGs Application - Successful,30/01/2020
30084209,NULL,URGs Application - Successful,30/01/2020
10002127,NULL,URGs Application - Successful,30/01/2020
10004702,650,URGs Application - Successful,30/01/2020
10001786,NULL,URGs Application - Successful,6/02/2020
30017260,NULL,URGs Application - Successful,6/02/2020
10014430,650,URGs Application - Successful,19/02/2020
30077589,528.39,URGs Application - Successful,20/02/2020
10005316,650,URGs Application - Successful,19/03/2020
30069574,650,URGs Application - Successful,19/03/2020
30031896,650,URGs Application - Successful,19/03/2020
30037857,616.77,URGs Application - Successful FC2020/03108,24/03/2020
10021167,650,URGs Application - Successful FC2020/03111,24/03/2020
10016108,650,URGs Application - Successful FC2020/03112,24/03/2020
10013834,NULL,URGs Application - Successful,31/03/2020
10005064,549.66,URGs Application - Successful FC2020/03379,31/03/2020
30026714,437.83,URGs Application - Successful - FC2020/04253,28/04/2020
30019157,179.08,URGs Application - Successful - FC2020/04304,29/04/2020
30037115,463.43,URGs Application - Successful,6/05/2020
10002771,254.94,URGs Application - Successful,6/05/2020
10010284,424.44,URGs Application - Successful,6/05/2020
30070726,518.72,URGs Application - Successful,6/05/2020
30023237,631.76,URGs Application - Successful,6/05/2020
30023624,650,URGs Application - Successful,6/05/2020
30036333,250.73,URGs Application - Successful,13/05/2020
30097822,NULL,URGs Application - Successful,13/05/2020
30027539,NULL,URGs Application - Successful,13/05/2020
10011669,623.03,URGs Application - Successful,20/05/2020
30075426,416.45,URGs Application - Successful,20/05/2020
30033207,404.22,URGs Application - Successful,27/05/2020
30035496,325.25,URGs Application - Successful,27/05/2020
30039417,488.44,URGs Application - Successful,27/05/2020
30039080,650,URGs Application - Successful,27/05/2020
10009576,650,URGs Application - Successful,27/05/2020
30070318,650,URGs Application - Successful,27/05/2020
30059081,283.17,URGs Application - Successful,27/05/2020
30091837,650,URGs Application - Successful,27/05/2020
10014804,650,URGs Application - Successful,27/05/2020
30029071,NULL,URGs Application - Successful,28/05/2020
30029071,650,URGs Application - Successful - FC2020/05519,2/06/2020
30038751,233.83,URGs Application - Successful,3/06/2020
30058908,439.13,URGs Application - Successful,3/06/2020
30095465,650,URGs Application - Successful,3/06/2020
30079161,224.99,URGs Application - Successful,3/06/2020
30059273,650,URGs Application - Successful,3/06/2020
30095593,598.61,URGs Application - Successful,3/06/2020
30010618,638.3,URGs Application - Successful,3/06/2020
30098170,219.76,URGs Application - Successful,4/06/2020
30052305,191.34,URGs Application - Successful,4/06/2020
30093164,650,URGs Application - Successful,4/06/2020
30067703,650,URGs Application - Successful,4/06/2020
10020274,650,URGs Application - Successful,4/06/2020
30097016,253.75,URGs Application - Successful,11/06/2020
30027999,NULL,URGs Application - Successful,11/06/2020
30017941,650,URGs Application - Successful,11/06/2020
30061587,650,URGs Application - Successful,11/06/2020
30092652,468.17,URGs Application - Successful - FC2020/06253,16/06/2020
30039114,650,URGs Application - Successful - FC2020/06254,16/06/2020
10021551,376.16,URGs Application - Successful - FC2020/06257,16/06/2020
10021569,505.87,URGs Application - Successful - FC2020/06258,16/06/2020
30089188,512.53,URGs Application - Successful - FC2020/06260,16/06/2020
10015401,650,URGs Application - Successful - FC2020/06261,16/06/2020
10014027,650,URGs Application - Successful - FC2020/06262,16/06/2020
30021039,650,URGs Application - Successful - FC2020/06263,16/06/2020
30023619,362.5,URGs Application - Successful - FC2020/06265,16/06/2020
30091259,352.32,URGs Application - Successful - FC2020/06503,23/06/2020
30033822,650,URGs Application - Successful - FC2020/06505,23/06/2020
10003860,650,URGs Application - Successful - FC2020/06507,23/06/2020
10001487,185.05,URGs Application - Successful - FC2020/06511,23/06/2020
30049120,650,URGs Application - Successful - FC2020/06513,23/06/2020
30028129,650,URGs Application - Successful - FC2020/06515,23/06/2020
10017384,650,URGs Application - Successful - FC2020/07044,30/06/2020
10013923,313.6,URGs Application - Successful - FC2020/07046,30/06/2020
10019330,650,URGs Application - Successful - FC2020/07049,30/06/2020
10004195,459.69,URGs Application - Successful - FC2020/07050,30/06/2020
30097378,650,URGs Application - Successful FC2020/07326,7/07/2020
10002877,650,URGs Application - Successful FC2020/07327,7/07/2020
30051243,650,URGs Application - Successful - FC2020/07508,13/07/2020
30031378,650,URGs Application - Successful - FC2020/08350,4/08/2020
30019157,218.71,URGs Application - Successful - FC2020/08361,4/08/2020
30027394,650,URGs Application - Successful - D2020/048920,16/09/2020
30037792,481.08,URGs Application - Successful - D2020/048942,16/09/2020
10001487,253.66,URGs Application - Successful - FC2020/11379,7/10/2020
10018155,650,URGs Application - Successful - FC2020/11380,7/10/2020
30074942,589.01,URGs Application - Successful - FC2020/11381,7/10/2020
